#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI14FSYM004	KI14FSYM004	4	coral	2014	4	Favites_pentagona	35	gone	2014
KI15aFSYM002	KI15aFSYM002	4	coral	2015Jan	2	Favites_pentagona	35	gone	2015Jan_Pre
KI15aFSYM081	KI15aFSYM081	4	coral	2015Jan	81	Favites_pentagona	35	gone	2015Jan_Post
KI15bFSYM002	KI15bFSYM002	4	coral	2015May	2	Favites_pentagona	35	gone	2015May
KI15cFSYM003	KI15cFSYM003	4	coral	2015July	3	Favites_pentagona	35	gone	2015July
KI14FSYM019	KI14FSYM019	19	coral	2014	19	Platygyra_sp	38	UK	2014
KI14FSYM062	KI14FSYM062	62	coral	2014	62	Platygyra_sp	8	alive	2014
KI15aFSYM116	KI15aFSYM116	62	coral	2015Jan	116	Platygyra_sp	8	alive	2015Jan_Post
KI15bFSYM167	KI15bFSYM167	62	coral	2015May	167	Platygyra_sp	8	alive	2015May
KI15cFSYM372	KI15cFSYM372	62	coral	2015July	372	Platygyra_sp	8	alive	2015July
KI16aFSYM001	KI16aFSYM001	62	coral	2016March	1	Platygyra_sp	8	alive	2016March
KI14FSYM099	KI14FSYM099	99	coral	2014	99	Platygyra_sp	35	alive	2014
KI15aFSYM103	KI15aFSYM103	99	coral	2015Jan	103	Platygyra_sp	35	alive	2015Jan_Post
KI15bFSYM023	KI15bFSYM023	99	coral	2015May	23	Platygyra_sp	35	alive	2015May
KI15cFSYM018	KI15cFSYM018	99	coral	2015July	18	Platygyra_sp	35	alive	2015July
KI16aFSYM049	KI16aFSYM049	99	coral	2016March	49	Platygyra_sp	35	alive	2016March
KI14FSYM148	KI14FSYM148	148	coral	2014	148	Platygyra_sp	30	UK	2014
KI14FSYM157	KI14FSYM157	157	coral	2014	157	Platygyra_sp	3	UK	2014
KI15cFSYM161	KI15cFSYM161	157	coral	2015July	161	Platygyra_sp	3	UK	2015July
KI14FSYM161	KI14FSYM161	161	coral	2014	161	Platygyra_sp	3	UK	2014
KI15cFSYM159	KI15cFSYM159	161	coral	2015July	159	Platygyra_sp	3	UK	2015July
KI14FSYM164	KI14FSYM164	164	coral	2014	164	Platygyra_sp	3	UK	2014
KI14FSYM192	KI14FSYM192	192	coral	2014	192	Favites_pentagona	38	dead	2014
KI15cFSYM200	KI15cFSYM200	192	coral	2015July	200	Favites_pentagona	38	dead	2015July
KI14FSYM205	KI14FSYM205	205	coral	2014	205	Favites_pentagona	38	alive	2014
KI15cFSYM209	KI15cFSYM209	205	coral	2015July	209	Favites_pentagona	38	alive	2015July
KI16aFSYM196	KI16aFSYM196	205	coral	2016March	196	Favites_pentagona	38	alive	2016March
KI14FSYM213	KI14FSYM213	213	coral	2014	213	Favites_pentagona	38	UK	2014
KI15cFSYM216	KI15cFSYM216	213	coral	2015July	216	Favites_pentagona	38	UK	2015July
KI14FSYM223	KI14FSYM223	223	coral	2014	223	Platygyra_sp	3	UK	2014
KI15cFSYM171	KI15cFSYM171	223	coral	2015July	171	Platygyra_sp	3	UK	2015July
KI14FSYM231	KI14FSYM231	231	coral	2014	231	Favites_pentagona	3	UK	2014
KI15cFSYM178	KI15cFSYM178	231	coral	2015July	178	Favites_pentagona	3	UK	2015July
KI14FSYM234	KI14FSYM234	234	coral	2014	234	Platygyra_sp	3	UK	2014
KI15cFSYM180	KI15cFSYM180	234	coral	2015July	180	Platygyra_sp	3	UK	2015July
KI14FSYM242	KI14FSYM242	242	coral	2014	242	Platygyra_sp	8	UK	2014
KI14FSYM245	KI14FSYM245	245	coral	2014	245	Favites_pentagona	8	UK	2014
KI14FSYM248	KI14FSYM248	248	coral	2014	248	Platygyra_sp	8	UK	2014
KI14FSYM249	KI14FSYM249	249	coral	2014	249	Favites_pentagona	8	UK	2014
KI14FSYM253	KI14FSYM253	253	coral	2014	253	Platygyra_sp	8	gone	2014
KI15aFSYM113	KI15aFSYM113	253	coral	2015Jan	113	Platygyra_sp	8	gone	2015Jan_Post
KI15bFSYM164	KI15bFSYM164	253	coral	2015May	164	Platygyra_sp	8	gone	2015May
KI15cFSYM365	KI15cFSYM365	253	coral	2015July	365	Platygyra_sp	8	gone	2015July
KI14FSYM258	KI14FSYM258	258	coral	2014	258	Platygyra_sp	27	UK	2014
KI14FSYM266	KI14FSYM266	266	coral	2014	266	Platygyra_sp	27	UK	2014
KI14FSYM271	KI14FSYM271	271	coral	2014	271	Favites_pentagona	27	dead	2014
KI15aFSYM163	KI15aFSYM163	271	coral	2015Jan	163	Favites_pentagona	27	dead	2015Jan_Post
KI15bFSYM197	KI15bFSYM197	271	coral	2015May	197	Favites_pentagona	27	dead	2015May
KI15cFSYM090	KI15cFSYM090	271	coral	2015July	90	Favites_pentagona	27	dead	2015July
KI14FSYM273	KI14FSYM273	273	coral	2014	273	Favites_pentagona	14	gone	2014
KI14FSYM278	KI14FSYM278	278	coral	2014	278	Platygyra_sp	14	dead_or_gone	2014
KI14FSYM285	KI14FSYM285	285	coral	2014	285	Favites_pentagona	14	alive	2014
KI16aFSYM107	KI16aFSYM107	285	coral	2016March	107	Favites_pentagona	14	alive	2016March
